cpf,nome_completo,data_nascimento,genero,numero_celular,email,estado_civil,numero_celula,participacao_ministerio,data_batismo,data_conversao,escolaridade,profissao,cep,rua,bairro,cidade,uf,numero,receber_noticias
014.653.897-84,Melina Pires,1948-10-11,Feminino,(92)956184540,iancosta@example.net,Solteiro(a),8,MJF - Jovens,2021-09-01,2024-06-22,Fundamental,Cientista da informação e documentação,69065-015,Travessa Gustavo Henrique Rezende,Coração Eucarístico,Manaus,AM,444,Sim
016.574.382-44,Isadora Aparecida,1992-11-07,Masculino,(92)967415963,novaisleticia@example.com,Casado(a),5,MIDAF - Dança,2022-06-12,2024-03-18,Doutorado,Artista de circo,69029-120,Vereda de Sales,Distrito Industrial Do Jatoba,Manaus,AM,549,Não
019.836.452-06,Nina Novais,1950-07-08,Masculino,(92)975073418,melomaria-isis@example.com,Casado(a),10,Introdutores,2024-05-11,2024-06-07,Médio,Profissional de informática,69029-610,Estrada Mariah Machado,Jardim Atlântico,Manaus,AM,107,Não
042.583.976-10,Sr. Arthur Miguel Martins,1998-06-12,Feminino,(92)929215119,luiz-miguel00@example.org,Casado(a),3,MJF - Jovens,2023-11-27,2024-03-19,Doutorado,Tecnólogo em tecnologia da madeira,69029-410,Vale de Nunes,Nossa Senhora Aparecida,Manaus,AM,117,Não
042.673.915-99,Davi Luiz Leão,1969-11-04,Masculino,(92)940808768,da-rocharavi@example.org,Casado(a),5,MJF - Jovens,2020-04-29,2024-05-02,Superior,Geradorista,69029-440,Viaduto de Jesus,Casa Branca,Manaus,AM,626,Sim
042.691.538-06,Emilly da Rocha,1988-02-28,Feminino,(92)972802963,luna02@example.com,Solteiro(a),2,MILAF - Louvor,2021-09-18,2024-01-09,Superior,Escultor,69029-540,Lagoa Silveira,Vila Nova Gameleira 1ª Seção,Manaus,AM,810,Não
054.327.891-32,Matteo Gomes,1947-04-01,Masculino,(92)986977926,pintomilena@example.com,Solteiro(a),3,Eventos/Cerimonial,2022-10-13,2024-02-21,Fundamental,Açougueiro,69029-350,Favela de Ferreira,Piraja,Manaus,AM,258,Não
067.523.418-26,Cecilia Vargas,1974-10-21,Masculino,(92)934593562,llima@example.net,Solteiro(a),10,Técnica,2024-05-21,2024-06-19,Médio,Surfista,69029-440,Praça Vasconcelos,Eymard,Manaus,AM,767,Sim
074.691.385-01,Ana Liz Lima,1976-02-14,Feminino,(92)944686822,carvalhoolivia@example.com,Divorciado(a),4,Intercessão,2021-10-31,2024-06-10,Mestrado,Cardiologista,69065-320,Feira Vinícius Macedo,João Alfredo,Manaus,AM,628,Não
085.643.912-60,Agatha Moura,1994-10-28,Masculino,(92)915827720,piresandre@example.com,Casado(a),2,Comunicação,2022-08-27,2024-01-01,Superior,Quiropraxista,69065-020,Loteamento Benjamin da Mata,Campo Alegre,Manaus,AM,390,Não
087.261.493-03,Samuel Marques,1958-10-07,Masculino,(92)971132533,leandro27@example.net,Viúvo(a),4,MIDAF - Dança,2024-04-06,2024-01-04,Doutorado,Juiz de futebol,69065-125,Condomínio Gustavo Henrique da Rocha,São Bento,Manaus,AM,335,Sim
091.245.736-80,Léo Cavalcanti,1975-02-24,Feminino,(92)949807701,oliviamoura@example.com,Divorciado(a),3,Não,2022-11-22,2024-01-29,Fundamental,Soldador,69029-321,Fazenda de Caldeira,Etelvina Carneiro,Manaus,AM,685,Não
127.890.536-77,Anna Liz da Cunha,1986-06-13,Feminino,(92)925987693,luiz-otaviocardoso@example.net,Divorciado(a),6,MILAF - Louvor,2024-06-18,2024-02-27,Doutorado,Terapeuta floral,69065-164,Alameda Melissa Lima,Carlos Prates,Manaus,AM,736,Não
137.865.429-37,Emanuella Campos,1985-07-31,Feminino,(92)986248707,gdias@example.org,Divorciado(a),10,Infantil,2024-02-26,2024-04-02,Doutorado,Psicopedagogo,69065-050,Praia Arthur Gabriel Vargas,Conjunto Jatoba,Manaus,AM,336,Não
154.739.826-46,Lavínia Câmara,1948-12-13,Masculino,(92)921359187,camiladias@example.org,Solteiro(a),7,MJF - Jovens,2022-11-11,2024-07-11,Doutorado,Coronel,69065-170,Ladeira de Nunes,Caetano Furquim,Manaus,AM,839,Sim
180.972.346-96,Maria Luiza Almeida,1957-06-03,Masculino,(92)914291666,montenegroester@example.com,Solteiro(a),10,Eventos/Cerimonial,2020-11-05,2024-03-01,Pós-graduação,Policial federal,69065-161,Morro de da Mota,Mariano De Abreu,Manaus,AM,757,Não
183.964.250-51,Lucca Albuquerque,1955-08-22,Masculino,(92)984624045,sophie71@example.net,Divorciado(a),5,Celebrações,2023-01-30,2024-01-17,Pós-graduação,Crítico,69029-490,Avenida de Pimenta,Comiteco,Manaus,AM,516,Sim
189.364.250-05,Rafael Barros,1949-11-22,Masculino,(92)928849894,yago16@example.org,Viúvo(a),9,MILAF - Louvor,2023-02-10,2024-05-03,Médio,Jogador de tênis de mesa,69065-070,Recanto Cavalcanti,Sport Club,Manaus,AM,950,Sim
190.586.372-12,Stella Araújo,1968-08-02,Feminino,(92)994777785,ilima@example.net,Solteiro(a),4,Intercessão,2020-09-29,2024-02-09,Médio,Pedicure,69029-330,Aeroporto Macedo,Vila Jardim Montanhes,Manaus,AM,699,Sim
193.670.254-16,João Lucas Monteiro,2000-04-01,Feminino,(92)962219172,da-pazmaria-fernanda@example.com,Casado(a),8,MIDAF - Dança,2024-07-06,2024-03-16,Doutorado,Presidente da República,69029-260,Estrada Bárbara Carvalho,Ipe,Manaus,AM,749,Não
205.193.874-14,Eduarda Machado,1959-05-23,Masculino,(92)912455355,leticiada-cruz@example.net,Divorciado(a),5,MILAF - Louvor,2021-11-18,2024-07-07,Doutorado,DJ,69065-228,Sítio Barros,Vila Calafate,Manaus,AM,939,Sim
207.435.196-80,Paulo Cavalcanti,1980-08-01,Masculino,(92)979088981,joaquim38@example.org,Casado(a),9,MILAF - Louvor,2024-02-19,2024-02-19,Fundamental,Engenheiro elétrico,69065-130,Vereda Teixeira,Caiçara - Adelaide,Manaus,AM,711,Sim
216.507.943-80,Levi Vargas,2004-01-11,Masculino,(92)937072332,maysada-luz@example.com,Casado(a),1,MIDAF - Dança,2021-10-27,2024-03-10,Pós-graduação,Engenheiro petroquímico,69065-008,Trecho de da Cunha,Vila Cemig,Manaus,AM,887,Não
250.764.983-65,Alice Silva,1973-07-15,Feminino,(92)954816571,joaquimmarques@example.org,Divorciado(a),3,Intercessão,2022-02-06,2024-01-21,Médio,Engenheiro de energia,69029-370,Aeroporto Moura,Santa Margarida,Manaus,AM,134,Não
258.306.791-59,Milena Jesus,1984-09-03,Masculino,(92)984188341,gteixeira@example.org,Casado(a),10,Infantil,2020-04-01,2024-03-18,Médio,Ombudsman,69065-110,Área de Mendonça,Guarani,Manaus,AM,617,Não
261.037.845-90,Pietro Aragão,1972-03-09,Masculino,(92)927769391,marquesjoana@example.org,Solteiro(a),9,MJF - Jovens,2022-04-27,2024-05-01,Mestrado,Regente,69065-070,Chácara de Ferreira,Heliopolis,Manaus,AM,301,Sim
261.480.759-11,Lívia Fernandes,1995-02-12,Masculino,(92)939241348,marianecirino@example.org,Solteiro(a),2,Introdutores,2023-04-19,2024-06-14,Médio,Técnico em agropecuária,69065-080,Vila Mendes,Castelo,Manaus,AM,21,Não
271.985.306-21,Isis Gonçalves,1994-05-02,Masculino,(92)983449441,casa-grandebento@example.com,Divorciado(a),2,MJF - Jovens,2020-07-24,2024-01-31,Fundamental,Transportador,69065-170,Colônia Castro,Vila Madre Gertrudes 1ª Seção,Manaus,AM,25,Sim
291.375.604-25,Sra. Maria Alice Peixoto,1969-01-31,Masculino,(92)970956605,rhavicostela@example.net,Viúvo(a),4,MJF - Jovens,2022-07-18,2024-04-15,Pós-graduação,Crítico,69065-073,Esplanada Leão,Aeroporto,Manaus,AM,892,Não
294.650.713-07,Henrique Borges,1990-05-05,Masculino,(92)926446996,camilapastor@example.net,Casado(a),6,MJF - Jovens,2021-03-04,2024-07-14,Mestrado,Feirante,69065-100,Via João Guilherme Caldeira,Santa Sofia,Manaus,AM,395,Não
296.058.417-11,Maria Sophia Rodrigues,1983-04-22,Feminino,(92)917518295,lucaspires@example.org,Solteiro(a),4,Não,2021-09-30,2024-07-10,Doutorado,Repositor,69029-440,Vale Farias,Itapoa,Manaus,AM,407,Sim
316.758.490-48,Sara da Rocha,1949-03-02,Feminino,(92)999623946,heitor81@example.org,Casado(a),2,Não,2022-10-23,2024-06-21,Médio,Filósofo,69029-237,Estrada Fonseca,Vila Betânia,Manaus,AM,401,Sim
317.509.642-52,Benício Montenegro,1985-04-20,Masculino,(92)938742817,apollo44@example.net,Divorciado(a),3,Não,2020-08-08,2024-07-03,Doutorado,Psicopedagogo,69029-100,Setor de Aparecida,Lagoa,Manaus,AM,579,Sim
325.619.047-25,Maria Alice Caldeira,1956-04-17,Masculino,(92)919079266,barrosheloisa@example.org,Viúvo(a),3,Introdutores,2024-01-03,2024-02-20,Médio,Técnico de som,69029-350,Vale de Moura,Vila Jardim Montanhes,Manaus,AM,247,Sim
325.961.780-95,Gabriela da Costa,1968-09-30,Masculino,(92)991947551,iporto@example.org,Divorciado(a),6,MIDAF - Dança,2022-11-06,2024-05-14,Fundamental,Quiropraxista,69065-054,Estação Teixeira,Planalto,Manaus,AM,512,Sim
340.159.628-42,Sophie Câmara,1963-07-29,Masculino,(92)933221442,earaujo@example.org,Solteiro(a),10,Intercessão,2024-05-11,2024-03-17,Superior,Lenhador,69065-224,Rodovia Maria Júlia Borges,Gutierrez,Manaus,AM,155,Não
360.948.152-89,Eduardo da Cruz,1972-08-08,Feminino,(92)995704012,fernando84@example.com,Casado(a),2,MILAF - Louvor,2022-08-26,2024-06-23,Pós-graduação,Pedicure,69029-100,Lagoa Bianca da Mota,Monsenhor Messias,Manaus,AM,111,Sim
375.642.810-90,Marcelo Costela,1979-01-16,Feminino,(92)928325150,bdias@example.org,Solteiro(a),1,Introdutores,2020-08-29,2024-01-31,Doutorado,Peão de rodeiro,69029-090,Rua de Sousa,Conjunto Santa Maria,Manaus,AM,562,Não
419.786.250-49,Dr. Arthur Miguel Sousa,1974-02-13,Masculino,(92)974646597,zmoura@example.net,Viúvo(a),5,Não,2023-06-14,2024-01-08,Médio,Capataz,69065-008,Praça Arthur das Neves,Pedreira Padro Lopes,Manaus,AM,586,Não
421.935.786-64,Srta. Allana Mendonça,1965-07-14,Masculino,(92)968226699,ayla54@example.com,Divorciado(a),3,Introdutores,2020-11-30,2024-02-10,Mestrado,Jogador de futebol,69065-175,Favela Ravi Lucca Leão,Vila Tirol,Manaus,AM,358,Não
425.819.063-24,Heloísa Gonçalves,1957-12-30,Feminino,(92)987044204,eda-mata@example.com,Solteiro(a),2,Celebrações,2021-08-19,2024-04-21,Superior,Escritor,69029-460,Praça Novaes,Morro Dos Macacos,Manaus,AM,556,Sim
435.691.028-15,Dr. Breno Cunha,1971-03-31,Feminino,(92)938521165,bruno48@example.net,Viúvo(a),4,Eventos/Cerimonial,2021-12-29,2024-04-13,Superior,Recreador,69065-070,Travessa Ferreira,Guaratã,Manaus,AM,598,Não
452.679.013-34,Sr. Gael Henrique Barros,1991-07-23,Feminino,(92)919533435,pbarbosa@example.net,Divorciado(a),10,Eventos/Cerimonial,2020-04-26,2024-03-14,Superior,Florista,69065-018,Lago Duarte,Tres Marias,Manaus,AM,7,Sim
461.392.705-61,Luara Campos,1949-04-30,Feminino,(92)980694860,ian62@example.com,Viúvo(a),7,Técnica,2023-11-09,2024-04-08,Superior,Psicomotricista,69065-218,Trecho Luna Barros,Santa Tereza,Manaus,AM,115,Não
469.807.251-49,Dr. Théo Moreira,1948-12-03,Feminino,(92)941898425,enzomarques@example.net,Casado(a),1,Comunicação,2023-02-16,2024-05-20,Fundamental,Conferente de expedição,69065-215,Avenida de Câmara,Vila Santa Rosa,Manaus,AM,886,Sim
471.268.359-73,Dr. Murilo Montenegro,2005-11-12,Feminino,(92)911864712,moraessophia@example.com,Divorciado(a),4,Intercessão,2020-12-13,2024-04-17,Doutorado,Chaveiro,69029-540,Travessa Théo Ribeiro,Distrito Industrial Do Jatoba,Manaus,AM,149,Sim
476.318.590-00,Otto Ribeiro,1950-01-08,Masculino,(92)932996966,bcirino@example.org,Divorciado(a),9,Infantil,2021-12-28,2024-02-03,Doutorado,Operador de vídeo,69029-041,Jardim Ramos,Santa Terezinha,Manaus,AM,158,Sim
489.067.321-04,Srta. Alana Moreira,1979-06-08,Feminino,(92)962812298,fonsecaleo@example.com,Solteiro(a),3,MIDAF - Dança,2020-05-22,2024-06-16,Superior,Aviador,69029-410,Condomínio de Monteiro,São Damião,Manaus,AM,581,Sim
493.875.026-00,Maria Sophia da Rocha,1999-12-13,Feminino,(92)958619061,noahsantos@example.com,Divorciado(a),3,MJF - Jovens,2023-08-14,2024-06-04,Doutorado,Barbeiro,69029-520,Lago de Fonseca,Itapoa,Manaus,AM,159,Não
509.614.732-07,Ana Clara Silveira,1998-05-26,Feminino,(92)924403981,jnascimento@example.org,Casado(a),6,MJF - Jovens,2022-07-25,2024-04-23,Doutorado,Gestor de recursos humanos,69065-210,Esplanada Cecília Aragão,Embaúbas,Manaus,AM,123,Sim
524.376.908-83,Isis Cavalcante,1969-12-16,Feminino,(92)980306000,nicole56@example.org,Casado(a),1,Intercessão,2023-12-26,2024-04-15,Pós-graduação,Cirurgião dentista,69065-162,Vale Murilo Cunha,Gameleira,Manaus,AM,127,Não
543.816.290-51,Rodrigo Pimenta,1982-07-05,Masculino,(92)948741314,guerraevelyn@example.net,Casado(a),6,Eventos/Cerimonial,2021-12-04,2024-03-29,Mestrado,Hematologista,69029-610,Parque Lima,Serra Verde,Manaus,AM,44,Não
571.869.204-11,Ayla Santos,1989-10-24,Masculino,(92)943766104,mda-luz@example.org,Viúvo(a),4,MJF - Jovens,2023-08-15,2024-03-19,Fundamental,Arrumadeira,69029-520,Feira Antonella Costa,Fazendinha,Manaus,AM,155,Não
587.412.960-01,Yuri Rocha,1948-09-01,Masculino,(92)978424555,fpires@example.org,Viúvo(a),4,Técnica,2021-10-13,2024-02-19,Fundamental,Skatista,69065-192,Vereda da Rosa,Jatobá,Manaus,AM,62,Sim
612.859.374-73,Cauê da Luz,1981-05-31,Feminino,(92)929629384,cabreu@example.com,Viúvo(a),7,Eventos/Cerimonial,2023-07-12,2024-01-16,Fundamental,Ginecologista,69065-100,Favela Porto,Europa,Manaus,AM,764,Não
621.450.789-67,Eduarda Peixoto,1995-07-04,Masculino,(92)984549467,cirinoluisa@example.com,Casado(a),3,Eventos/Cerimonial,2020-07-30,2024-06-30,Médio,Modelista,69065-300,Jardim Maria Sophia da Cunha,Vila Santa Monica 1ª Seção,Manaus,AM,194,Sim
631.482.057-07,Cecília da Cruz,1979-12-29,Feminino,(92)931675939,msousa@example.com,Divorciado(a),9,MJF - Jovens,2020-06-29,2024-03-23,Médio,Técnico em edificações,69065-080,Ladeira de da Rocha,Camponesa 2ª Seção,Manaus,AM,233,Sim
