id,numero_celula,cpf,data,presente
1,5,930.517.286-59,2024-08-18,1
2,4,074.691.385-01,2024-08-17,1
3,4,087.261.493-03,2024-08-17,1
4,4,190.586.372-12,2024-08-17,1
5,4,291.375.604-25,2024-08-17,1
6,4,296.058.417-11,2024-08-17,1
7,4,435.691.028-15,2024-08-17,1
8,4,587.412.960-01,2024-08-17,1
9,4,435.691.028-15,2024-08-18,1
10,4,471.268.359-73,2024-08-18,1
11,4,074.691.385-01,2024-08-18,1
12,4,087.261.493-03,2024-08-18,1
13,4,190.586.372-12,2024-08-18,1
14,4,291.375.604-25,2024-08-18,1
15,4,296.058.417-11,2024-08-18,1
16,4,435.691.028-15,2024-08-18,1
