cpf,nome_completo,data_nascimento,genero,numero_celular,email,estado_civil,numero_celula,participacao_ministerio,data_batismo,data_conversao,escolaridade,profissao,cep,rua,bairro,cidade,uf,numero,receber_noticias,id
934.216.507-99,Giovanna Câmara,1995-02-06,Masculino,(92)966448504,diogocardoso@example.net,Solteiro(a),5,Eventos/Cerimonial,2022-05-13,2024-07-03,Médio,Mensageiro,69030-595,Aeroporto Casa Grande,Pindorama,Manaus,AM,327,Não,1
710.835.924-32,Cecilia Souza,1987-09-13,Masculino,(92)959772157,qoliveira@example.net,Viúvo(a),4,Técnica,2024-03-19,2024-04-25,Fundamental,Webdesigner,69086-289,Morro Costa,Cidade Jardim Taquaril,Manaus,AM,995,Sim,2
805.367.241-80,Léo Barbosa,1950-07-05,Feminino,(92)990469258,gabriellyoliveira@example.net,Divorciado(a),3,MILAF - Louvor,2023-01-17,2024-04-01,Médio,Paramédico,69054-216,Passarela Benjamin Pereira,Maria Tereza,Manaus,AM,201,Sim,3
751.624.938-64,Olivia Vargas,1986-03-24,Feminino,(92)939384464,piresarthur-miguel@example.net,Casado(a),4,MIDAF - Dança,2020-12-29,2024-01-15,Mestrado,Escriturário,69071-918,Lagoa Stephany das Neves,Bandeirantes,Manaus,AM,522,Sim,4
824.906.153-51,José Rios,1987-06-30,Feminino,(92)936484816,joanasousa@example.net,Viúvo(a),10,Introdutores,2024-05-18,2024-06-30,Médio,Marinheiro,69066-629,Loteamento de Ribeiro,Conjunto Serra Verde,Manaus,AM,129,Sim,5
752.184.903-50,Caleb Moreira,1953-09-14,Masculino,(92)925812333,mouramilena@example.org,Viúvo(a),3,Infantil,2022-07-26,2024-04-25,Fundamental,Tosador,69022-151,Chácara de Rocha,Mangueiras,Manaus,AM,483,Sim,6
589.034.612-15,Davi Lucca Rezende,1980-06-14,Masculino,(92)945913049,liz66@example.net,Divorciado(a),8,Celebrações,2020-12-17,2024-06-01,Fundamental,Pianista,69029-606,Avenida de Pastor,Ouro Preto,Manaus,AM,92,Sim,7
286.037.154-08,Agatha Cirino,1975-12-16,Masculino,(92)974583636,sousamaria-helena@example.org,Solteiro(a),2,MJF - Jovens,2020-08-12,2024-06-14,Doutorado,Embalador,69032-214,Passarela de Cassiano,Bonsucesso,Manaus,AM,969,Sim,8
925.068.471-11,Sr. Danilo Cavalcante,1977-01-22,Feminino,(92)911659375,diogo16@example.org,Casado(a),10,MILAF - Louvor,2024-06-06,2024-04-07,Superior,Técnico em desporto,69019-980,Trecho Campos,Conjunto Serra Verde,Manaus,AM,727,Sim,9
260.437.958-92,Hadassa das Neves,2005-01-07,Feminino,(92)959769192,juliarios@example.com,Divorciado(a),8,Infantil,2023-03-22,2024-01-22,Doutorado,Cozinheira,69019-460,Esplanada de Nunes,Nazare,Manaus,AM,882,Sim,10
284.607.359-74,Igor da Cruz,2004-09-19,Masculino,(92)976515033,mariahsilveira@example.org,Casado(a),7,MIDAF - Dança,2021-10-21,2024-06-23,Superior,Engenheiro de iluminação,69076-171,Pátio Murilo Camargo,Jardim Vitoria,Manaus,AM,823,Sim,11
